,tweet_id,sentiment,author,content
12757,1963721299,sadness,PrinceOfTheOC,@IMjustDaNNi Awww thats not fair to me. Now im a lil sad
6421,1961255470,sadness,gracielou105,im at home....on a friday night.  but it's all good!
30956,1751784715,sadness,djrosenthal,@sharkattack44 i wish there was an &quot;i like&quot; option (like fb) for things like this
10216,1962850361,sadness,SpitfireJon,@pollybowles don't say that - I really miss my red Porsche (sold it 2 yrs ago)
33445,1752617774,sadness,brittventenilla,"Don't know what to do right now...pretty bored, but I refuse to study. Any suggestions?"
19057,1966162428,sadness,Ben_Jarelbo,@TraceyHewins Tired! I may have to go to bed. Trouble is I miss all my American evening friends.     X
28455,1696216824,sadness,Rinari,"@dragonblogger My pleasure  I really enjoy your random word poetry, and am disappointed when I miss out on participating!"
11555,1963276292,sadness,iyalauren,back garden times. my feet hurt
19497,1966277344,sadness,Stacey_D,oh God! Bicycle accident just across the street from our house. I think fatal. Cyclist died near same place 2 yrs ago. We need bike lanes
11657,1963308678,sadness,hongxinman,i want my face to be a somatic drawing of david lanham  or i want a leopard theme his somatic theme..  im so sad..im such a big fan..
11783,1963350220,sadness,MissBenilda,@INVAZN me too  Thats why im driving down to Cali in July for HIN Pleasanton.
22040,1694348464,sadness,criistina26,graandma's houseee  i havee too leave now! &lt;3
25365,1695081609,sadness,ZolaMO,"@podagraph Wait a min, u pretty much home til u jump the pond? I have 1 wk 2 go. If I could find a cheap flt  It's a thought, haha."
6989,1961506495,sadness,audreynelson,I gave my brother a hug good-bye.. as he took a load of furniture away from the house. He took the mattress I like
19485,1966275398,sadness,CormacOfFleetSt,I'm sad to take off the suit b/c I know I'm not going to get to wear one again for a long time
11783,1963350220,sadness,MissBenilda,@INVAZN me too  Thats why im driving down to Cali in July for HIN Pleasanton.
35515,1753117873,sadness,rolynn719,Waiting for the bus back from cripple creek to pick up the twizzler town seems kinda quiet tonite    *rolynn719*
5364,1960762262,sadness,judel,"@nettagyrl What makes me sad is when I follow someone I converse with and have similar bios, but they don't follow me back!"
22403,1694420653,sadness,keza34,@spook68 morning.any plans for today?
668,1957121259,sadness,mel95,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
4532,1960429076,sadness,ronnie1977,@JonathanRKnight welcome back! I'm stuck in jury duty today.
14124,1964368765,sadness,IanRobinson,is tired. 04:30 alarm setting will do that  Off to bed as soon as my bloody iPhone Backup and Sync finishes.
35515,1753117873,sadness,rolynn719,Waiting for the bus back from cripple creek to pick up the twizzler town seems kinda quiet tonite    *rolynn719*
4116,1960211176,sadness,lucalessio0205,need some Pizza...can't get out of office
7190,1961565724,sadness,circadianwolf,bad day
25374,1695081888,sadness,sheetal_shristi,@pratikjain4 welcome
26056,1695280245,sadness,Hapson,"@Stormb441 not in this part of Surrey either, feeling quite a bit nippy I must say. Afternoon to you"
1032,1957199055,sadness,Nickygeezy,@NickTheIntern my love!!! We still havn't done lunch together like we said we would.. I miss you my friend
26637,1695476564,sadness,sadiestar,Got my attics w sadie art work included  good times just broke my head phones bad times still happy buy attics!
27304,1695729784,sadness,Cee_you_and_tea,HE SAID IT  HE ACTUALLY SAID IT and I think I'm gonna cry now. &lt;3
1762,1957392269,sadness,ShayMarie21,"@Lmhustle4life Shit none. But yea last weekend was crazy, i think i partied to hard, thats why im sic."
10313,1962874778,sadness,hcolephotos,Sad to say bye bye to these beautiful mountains.  http://twitpic.com/675ks
3662,1958097331,sadness,xLoz_91x,Can't believe ER is over
15241,1964774396,sadness,whitttnay,"is missing her best friend  commme back kayla, going out in a little while"
11448,1963218081,sadness,lovachic14,@dougiemcfly ME TOO! hehe i hate colds. totaly annoying...
27062,1695620876,sadness,pauljessup,@BerinKinsman Does this happen every monday?
19403,1966252179,sadness,Allips,"brother's back!! &amp;&amp; i found this really small dead bird on my deck  so sad, i basically cried."
13595,1964095399,sadness,danyay,"too cold to take the boat out tonight   might go out anyway, but danvan isn't in operation either. BUMMER"
12267,1963519083,sadness,danscottbrown,Anyone want a cooked Dan? I'm heating up in my bedroom.
13710,1964147725,sadness,ConnorGreen,everyones just set to &quot;Away&quot; on msn.. nobody to talk to :\
18866,1966096234,sadness,williamO_O,"Sh t, I'm getting even more sad. I'm currently at the library and j think it'll be the last one tooooo"
10657,1962969582,sadness,CR8D2XL,@Rckstar53 Why I gotta be all that?... I sad now
33618,1752671259,sadness,kluless65,@AClockworkToad I told him TTT!
27522,1695805917,sadness,marycarolyne7,@Lopimpson14 HELLOO
17416,1965654608,sadness,celiakthib,That's okay... I didn't want to watch shelby anyway!
14721,1964623691,sadness,davigirl1,@ludwikc broken  I can't c it
3738,1958114835,sadness,jeremy_ellis,@lesley007 Morning Lesley...ya making me jealous
14794,1964644785,sadness,_STFUalex,"Whoa, I didn't mean to sleep for more than an hour"
533,1957090643,sadness,synerje,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
32109,1752192016,sadness,GarrettMcCord,@jlskowro @jennsquared will have to wait on the recipe at Simply Recipes.  Sorries!
11688,1963320899,sadness,katejcrowley,"@angiemartinez me too.  I was in Florida last weekend for the rain.  Came back home to RI, rain.  Terrible"
80,1956985764,sadness,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
13656,1964126787,sadness,gigglesalot,@chickwoman97  im riding the highs and lows of moods now.... chores blow
32815,1752414768,sadness,Huddy1124,@Syreeta306 girl u sit ya double decker neck ass DOWN and talk about ppl who are on ur LEVEL and not above
17007,1965502022,sadness,fafsruiz,@MrsMcFlyGrimmy how was your day ? boredom stuck my head
7763,1961886503,sadness,guppu,"My parents withdrew permission at the last moment, I am not going along with tomorrow's SAC trip to IDP camps  #Pakistan #IDPRelief"
7070,1961534707,sadness,colinrchorley,"Saying goodbye to a good trusted friend today. Goodbye free Sky TV, you were the best friend anyone could have had."
12427,1963570143,sadness,unexplainable__,the BEST day ever. I met the greatest 10 year olds. but i will never see them again.. AHH. i'll miss them (i saw them 1 hour xD) SAD
8844,1962323750,sadness,juliamusic101,School Over!!! I'm gonna miss a bunch of people
11058,1963103695,sadness,eventide89,@lilaznangel16 im looking forward to just getting past this chapter!so annoyin when i have so much that i wanna do and i cant get to it
13638,1964122852,sadness,sparah07,bad mood and i dont feel good. too bad no one cares
19849,1966404532,sadness,Leprakans,Waiting for the dang pizza to cook. It's almost 9 and we still have not eaten wifey fail. Did I mention I feel like crap
11278,1963166195,sadness,psfnick,From Portugal to Derbyshire. At least sun is shining but lawn looks like Percy Thrower is Gardner-in-Residence! Weekend jobs =
19481,1966273801,sadness,imanika,@wesleyadamquinn i missed the chicago show  boo me.
14521,1964560446,sadness,SongoftheOss,"@_CorruptedAngel my god, really! Really? 50? Christ"
536,1957091327,sadness,WeeWifie1981,morning again! I hate mornings. So offensive!
11501,1963232158,sadness,kat3260,@Certain_Songs I know  Especially since the summer is such a boring TV time to begin with.
9554,1962610943,sadness,BluewaterYoga,Sorting out Twitter issues....very frustrated that you can't talk to someone and they respond slowly to issues - capacity the challenges
18779,1966075631,sadness,Amberskates,Had a pretty good day. Let's see how the night goes. ;-) oh I have to work all day tomorrow no picnic for me
18758,1966070381,sadness,llewz0r,jungle book 2 is sooooo cute.. i have nothing to eat or drink
30205,1751502920,sadness,GenesisGijon,Getting ready to go to the comedy club and listening to some Q-Tip  Who's on iChat or Skype right now? I need an outfit critique
10628,1962957022,sadness,twi_vivs,ayy fml. nothing is perfect
23072,1694550555,sadness,littleoddforest,@sparklethots love that birdy nest! though i already got us another kind
17625,1965725548,sadness,ghett0blaster,Twitter stop being a dick and let me change my background image!  (imagine a shiny NHL ring in the background)
4905,1960555219,sadness,MsDreahTonnea,Congrats to ALL Graduates! Such a Beautiful thing &amp; Big DEAL! I jus wish i cudve attended My lil man Ryan kdg graduation  Feel verY SAD!
16833,1965460576,sadness,GangstaBabydoll,I can't I'm on my iPhone
18538,1965996220,sadness,colettebett,"@1045CHUMFM Oh ok,Thanks.Dont know where the courthouse id either,I'll learn though.Any nkotb? Twitter stole my pic again  it hates me"
25724,1695190357,sadness,ChristinaToh,"????? ,my latest obession."
12067,1963455027,sadness,cpi013,Well - looks like Hurdle is out.
37236,1753451318,sadness,Mashimuzy,Is going to sleep. Good night everyone!!
12533,1963597514,sadness,xipeNL,@dutchcowboys Huh... PR from 5 to 2..?
25195,1695028557,sadness,sam_ward_is,"@mizzannabel im not a supermodel, i still eat mcdonalds baby thats just me!  xxx"
17733,1965764910,sadness,Gromrigan,@Trillian711 I had an account at a local comic store that I ran to 4k  at one time
12456,1963579448,sadness,EmmaLozLoz,im not happy   my ipod or laptop dont know whih but one has decided to refuse to let me sync my songs :'( how can i live without it :/
8734,1962268018,sadness,kilometers,HR says ca is taking more tax out of my checks.
5456,1960859442,sadness,CassidyLovesYou,- me and my mom's cars were broken into.  I feel violated.
7479,1961742133,sadness,AdamBMusic,"@Steffisticated If they recorded it and sent it to people, they obviously meant for it to get out there.  But if they didn't, I feel bad."
14117,1964366568,sadness,Its_Charlotte,I miss my daddy so much.
14713,1964620757,sadness,destinyjoyful,"@jerrib247 sorry mom! I didn't mean to. I shouldn't have tweeted that, you are already having a hard day  Love you!"
11316,1963176186,sadness,NikoleCamarae,@samluminate the closest is a good two hours
29731,1751324739,sadness,cupcakecutie18,i have no idea what im doing and i am completely lost.
16059,1965214089,sadness,gooeychicken,Grounds himself from getting more toys...only cause I have officially ran out of room to place them
29194,1751139893,sadness,psycatron,@vonstroke Heidi just finished her set at Stiff Kitten with Aundy
6032,1961128587,sadness,cAndyygiRll,My job sucks!!!
4221,1960294025,sadness,ali_wright,"Glorious day in Glasgow for a change, and I'm working  Too much to do to even contemplate knocking off early..."
519,1957088224,sadness,shen_nanigans,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
18540,1965996603,sadness,leneisefjaer,My computer dies soon  - its so much virus on it but my virus scanner  cant find it :S
9513,1962600901,sadness,DawnYang1,All my loved ones are leaving on Sunday..... sad
399,1957059917,sadness,MelissaWOOF,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
10697,1962981317,sadness,carollineo,@backstreetboys http://twitpic.com/3x3wq - impossible to know them closely
11899,1963387530,sadness,mcflyellie,@billiemcfly she said no not to nite  x
3779,1958121814,sadness,iamCollins,i dont like funerals
13375,1964012596,sadness,rrispoli,Gained 3lbs wish I could afford something other than top ramen... If only I had a job...
31585,1751988258,sadness,Halfdeck,@pageoneresults more seo voodoo  Google has your cache. NOARCHIVE only hides it from users.
17414,1965654315,sadness,polover,"@cheerleaderlexy she interviewed us on books. I was gonna say something, but she was all &quot;Wait, I have something to say!&quot;"
10371,1962891409,sadness,rosalicious,There is no good place to grab a quick healthy lunch in downtown Golden. Looks like it may be Safeway
25410,1695082993,sadness,rubenerd,@oliyoung
1536,1957332231,sadness,siaraarroyo,"my head is killing me, i keep sneezing, and i think my boyfriend fell asleep. greaaat"
28331,1696176102,sadness,demimyke,"blerg, damn you Monday, why must you always come.  Decent weekend, new glasses, hair color and got carded at Gamestop = awesome ego boost"
31265,1751886614,sadness,kristenmdory,"@melissa_paige92 AMEN! Clearly, if they did know you, they wouldn't be able to say that! You're WONDERFUL!  I get it too, though... sucks"
3481,1958057087,sadness,CristineeMarie,"I'm up. getting ready for skill. can't wait to fail my bio final yay! ugh, honor classes suckkkk.  ):"
6966,1961501072,sadness,twistedthursday,Legs are hurting because I was standing up all day.
26608,1695475637,sadness,FPGaming,"Going to bed, in pain fell on my shoulder today. Good night"
16338,1965309771,sadness,deadly_cyn,@thursdayband  We can't even call you from belgium  sucks
27602,1695845453,sadness,chiniehdiaz,@iunfold That's true  I never believe my staff when they call in sick on Mondays or Fridays - LOL!
23810,1694705003,sadness,clownatwork,@Kaelex you're back?
8280,1962112836,sadness,bitofwhimsy,@SeviDesigns It'll be delivered next Friday.  That is a looonnnng way away with 5 people! Guess I'll do laundry next week at mil's.
2596,1957583241,sadness,razzles13,man.. it's starting to rain real hard..
8322,1962138498,sadness,jessiesingswhoa,"hillsong tom. night, and dad's birthday! i wish i could see him on his bday though."
654,1957118155,sadness,gayasarainblow,I miss my friend
9993,1962779908,sadness,Vanderpool,http://twitpic.com/674p1 - @JTHawthorne this is my Ohio is for lovers tattoo got the design off the shirt.. haha but I lost the shirt
35190,1753050651,sadness,LisaRez,"@oohhMandy ITSNIKKITIME haha...shiiit, that was Austin o'brien..pardon my BAD call!"
19002,1966129930,sadness,tempore,"@AwkwardTown I know. I think I'm going to have to miss it, though.  This is when sacrificing money for job happiness sucks ass."
11087,1963109023,sadness,MusicELINE,The sun is not cool
15190,1964765612,sadness,idreamofjeanny,"@saryros haha.. yes, i'm jealous! i don't have money to do all that!"
1277,1957262195,sadness,apleezy,just got home.. downtown was dead.. plus im kinda under the weather and i gotta get up for work tomorrow
24144,1694769970,sadness,beastyivan,me knows what to be tested on all the exam subjects except for english. damn davis.
21804,1694310277,sadness,itaggs,@mobileech Looking for a new SMS sending solution? http://promotion.itagg.com Get ï¿½6 FREE SMS with every iTAGG!
37765,1753548039,sadness,Caswiee,fighting with mum on mothers day
7576,1961764762,sadness,ostephens,"Oh well, there go my hopes for seamless transfer of blog  however I am now on track and will have it up and running sometime this eve"
21984,1694345365,sadness,tannwick,@violetbakes Woo hoo - we have that recipe
12236,1963506104,sadness,ROBlN,Of course it rains five minutes after i finish watering the flowers. It took me half an hour to water all of them too.
38313,1753633455,sadness,LoveCynthia1,"@queetsss thanks babe. I guess I will find the right person one day, til then I'm better off alone"
5135,1960628242,sadness,fijma,wishing I got fij
30147,1751500614,sadness,sarah_connors,@Ep31 eh...I might drive through Chi-town on my way to Colorado....maybe I'll get one then.
2644,1957592620,sadness,jtothe9,"3 hours sleep last night, all of my being wants to crawl into a ball somewhere and sleep for about 5 more hours. At work till six too"
25596,1695137601,sadness,SteffC,"@PaulaMacKay I think he thought about it, but then I sneezed on him"
9312,1962517006,sadness,oohhjamila,aww my friend just called and said that she got a better job so she won't be working with me anymore
14587,1964578242,sadness,hayley8705,@lilyroseallen britains got talent is rather disappointing this year
22800,1694494088,sadness,Louiseeep,shower time!!!!!
8037,1961998637,sadness,assclownhater13,has today off! But has to work tomorrow
15817,1964990283,sadness,ehstefany,I always feel sickly when I wake up.  Well got a busy day ahead of me! Yippeee
5663,1960993456,sadness,DEBLACKWIDOW,RIP to officer Edwards. May GOD continue to bless his family. What's up wit cops killing cops. Seen the same thing happen on &quot;The WIRE&quot;.
8255,1962107068,sadness,sally_ann,"Feeling bad for my little sister. Put a lot of money into her Saab, took full coverage off it last week, and totalled it yesterday"
11277,1963166187,sadness,tracysuzanne,work work work
11623,1963300826,sadness,Deedubau,@daynah it doesn't work with the iPhone yet   I love it for the simplicity but I need to be able to sort tasks on my iPhone to be useful
5588,1960942720,sadness,imarriage,My wife lost her sprint blackberry 8330 on a bike ride in AM.  Anyone have an extra BB laying around? retweet
29783,1751358977,sadness,betikamigama,@Bethsybsb
18538,1965996220,sadness,colettebett,"@1045CHUMFM Oh ok,Thanks.Dont know where the courthouse id either,I'll learn though.Any nkotb? Twitter stole my pic again  it hates me"
5688,1960999082,sadness,foxycoxy,@frazzel It wouldn't let me download it cos it said I'm the UK. I had a little cry.
14991,1964703870,sadness,Bantu37,@amandapoop no  I didn't yet he never texted backk.
11414,1963211668,sadness,Scyranth,@HalestormRocks I wish y'all...unfortunately I won't be able to make it...gotta work my 2nd gig today
4131,1960216827,sadness,MattBrowne,Fighting with Nagios configuration.  Great tool but the config is a bit of a labour
2460,1957549564,sadness,kreativsounds,"Google Wave presentation: http://bit.ly/2ehfov  I'm not very impressed. It's nice, but it's not really for me"
5365,1960762455,sadness,daracorrato,@DsBabyGirl  having a stressful morning! just got my computer back (crashed) - trying to reinstall everything.
112,1956993007,sadness,villa_ld,i'm so tired
4597,1960451378,sadness,chelseakent,going to funeral today for friend and classmate who died in a car wreck last Friday
19157,1966191788,sadness,meganrogers,@coliwilso *hugs*  still feeling poorly are you
11963,1963410413,sadness,PrincessNene08,I wont be taking my test until 06/27/09
15475,1964849591,sadness,MandrewB,"So, #primavera is in Barcelona. In Spain. Surely Ruth Lorenzo must be here, right? BTW Jarvis has a walking stick"
11676,1963317624,sadness,besbev,"Yep, @CAndymanTK9772. Sleep-fail. In another 7-8 hours, it'll be D&amp;D-fail."
29536,1751251555,sadness,ashhsmith,"it gets worse every year and 2010/2011 will be the worst. oh, and 6 months today!"
7929,1961928536,sadness,Teri_Fied,Why didn't my favorite spotters last tweet go to my phone
16762,1965441073,sadness,pinkcigarettes,@RealAudreyKitch i'd seriously kill for a bath the now.  but we only have a shower cubicle. I miss bubble baths!
12469,1963581977,sadness,yatatatata,"feeling bad for Daisy, she cries in every episode       i watch waaaaay too much tv"
16182,1965266371,sadness,Hannah__James,@mitchelmusso it wont work in the uk
19517,1966280621,sadness,TheKingslayer,@ladebelle yeah it's a double edged sword. So I guess we dead on new stories?
1295,1957266196,sadness,Jady0903,"Changed my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
17522,1965686023,sadness,Froman08,So bored.... couldn't go to a-kon...
10829,1963027078,sadness,Kaaayleigh,"@jaycool2k I do want to go for Peaches... but also Miss Kittin, pendulum, chase&amp;status and the bloody beetroots! its not fair"
4206,1960268822,sadness,gouneexp,Is hungry with a sub
19769,1966348172,sadness,loveoflife21,@mlpband my heart just broke a little ... and by a little i mean a lot
19410,1966253854,sadness,megapanda,"if i make some madeleines, i need to have a bake sale or something. god. boredom needs to = something other than baking"
1863,1957414727,sadness,mjh81,@LittleLee yup! way to fucking early and I'm already at work
8328,1962140277,sadness,devahaz,@meiko911   didn't have time this morning to go all the way across town to take a pic (SO SAD)
19481,1966273801,sadness,imanika,@wesleyadamquinn i missed the chicago show  boo me.
9573,1962614981,sadness,julieroberts1,Just dusted &amp; vacuumed apartment.  I think I need another new vacuum...my entire apartment is smoky.  I just bought this one from Kmart
27424,1695768044,sadness,die_tryin,@sroxy good morning...did you break 5 digits yet?
14677,1964600386,sadness,angelinlb,I'm craving something salty in my mouth!  Tired of pretzels tho.
12427,1963570143,sadness,unexplainable__,the BEST day ever. I met the greatest 10 year olds. but i will never see them again.. AHH. i'll miss them (i saw them 1 hour xD) SAD
12026,1963423737,sadness,christinewhuang,@Kenzonian Yes I do! And I'm still almost at my Gmail storage ceiling! ARGH! I am being FORCED to delete stuff.... or buy more space.
2509,1957561005,sadness,brinnerz,Its beginning to get way too hard to please all of my friends at once
1347,1957282284,sadness,mysunshinecoast,"Well thats me for the day, watching Panthers tonight beat the Saints (fingers crossed) cause there are no QLD teams playing this round"
7235,1961573756,sadness,necrogami,I'm off to a fun filled evening at a funeral home ...  Joy.
19907,1966418327,sadness,guyyy,theres nothing worse than working on a friday night and having to wake up at 6 am on a saturday. I want my babe
5546,1960907311,sadness,MamaSeal,http://twitpic.com/66q88 - So....I don't have a PE  but I do have a Pocket Artoo!
34698,1752941148,sadness,iamasar,@CHACITY has more followers than me. I wanna be as cool as her. Follow her so that will never happen.
14726,1964624732,sadness,archiefan96,crying to A Walk To Remember as usual
2623,1957588348,sadness,ciaranhenderson,@solobasssteve I'm with you there - filing is so much less fun than sorting cos you still have to look at it &amp; hunt down details
13282,1963985846,sadness,BDLTwow,Barg - We posted the GMOD to you for your birthday!!! But you didn't see it.
17578,1965696462,sadness,clintcoates,Was just in a wreck. Getting real sore now. It was their fault and they didn't have insurance. Was planning to go to the wedding tonight
1400,1957295065,sadness,hellocuppycake,@madeleinelaurin whys your cat in pain?
3307,1957751180,sadness,megsv6,"ready 4 the weekend! yay me. even though once its over, im the lucky person that gets to work 10 days in a row till i get another one off"
304,1957034566,sadness,mara_nerdgirl,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
4364,1960336931,sadness,Ben_Grauwiler,Is Bored at Home
17204,1965559028,sadness,karolijn,@billdeys it's raining  I'm hiding.
27470,1695803479,sadness,fairguru,Woke up late &amp; trying to get sh*t done before work
10650,1962962394,sadness,H2oShy,@mileycyrus AHHHH!!!! Voting is closed for your categories!!!  I would have voted for you in them though!  I tried.
13888,1964232370,sadness,sokalchica,another long day..glad its the weekend..but still on call
16059,1965214089,sadness,gooeychicken,Grounds himself from getting more toys...only cause I have officially ran out of room to place them
16649,1965410525,sadness,GayeAlana,I want korean bbq so baddd but no one can come with me
6635,1961377009,sadness,blaktornado,is a failure
370,1957050747,sadness,Nick_Myndflip,@RealBlackWidow But but I dun wanna
11333,1963180218,sadness,giftculture,"@wholee Aaron and I are playing a gig at the Life Aquatic party outside of Austin, so I think we'll have to mis the TT Bday party, sadly"
6255,1961194220,sadness,DaniChristene,My friends are mocking my weekend!  @JamesPMacDonald have they been talking to you?
34649,1752919502,sadness,cheekymaltesa10,watching the original sabrina the teenage witch movie. so different from the series but so rad
8341,1962144262,sadness,Anita_Joint,FML i just spilled my entire can of diet coke IN MY LAP. yay
26384,1695376811,sadness,AnyKeyGraphics,"Law of Attraction - Some assembly (action) required  If u have asked 2 enter medical school, u still need 2 fill out the application"
10854,1963039964,sadness,LockonRyan9,"Ugh, still sick. This Calgary cold has lasted forever."
16032,1965097985,sadness,joannechung,I miss talkin turkey.  I REALLY MISS TALKIN TURKEY.
18446,1965969489,sadness,pooh2hawt,head hurt
18667,1966044678,sadness,bellalucia,@Octo77  aaaawww  would u like an alcoholic beverage of your choice?
18874,1966097148,sadness,MariaDCVL,upset.. friday night crying!
14605,1964582102,sadness,hptwilighter,Oh no it's storming... gotta get off the computer.
37811,1753550086,sadness,pavelegorkin,Strange day  I forget all what i can
3522,1958066717,sadness,FuturePresent,@lucyburchell sorry we didn't get a chance to chat at #screengrab09. Caught glimpse of you across room but was dragged home prematurely
772,1957144266,sadness,mandysaster,intentando intentarlo ONCE AGAIN!
13941,1964250118,sadness,nataliewill,"'Whats your stand on gay marriage?' - me. 'what the fuck natalie, stop asking me these gay ass questions! Go get a job!' - dad."
19819,1966358466,sadness,emmysays,I can't believe how tired I am right now... I don't know if I can go out tonight...   Exhaaaausted!!
16085,1965219511,sadness,XimyoursX,One of the most random phone calls ever. My god kill me now.
17331,1965595277,sadness,ComcastBonnie,"@JennaSnacks it's best if i check it while it IS up. when it's down, i can't really see anything"
2903,1957651728,sadness,mummyjane,Is now crying  Omg I am fed up with this pain !!!
34037,1752773252,sadness,leavingforparis,"Missed Justin on SNL! AGHHH! Just when I started to love him again, yes it's one of those weeks."
13926,1964247632,sadness,merlinw,"@sheila_libere ...Moving all done, no internet until Monday   at an cafe, like the new place, and work is fine. everything else, so so."
14749,1964629068,sadness,navyk11,did crossfit running today...agitated my right leg
24383,1694833859,sadness,patty_torres,"has got my xbox back  , i have a really sore knee cant walk"
1670,1957366702,sadness,DiscoverClocks,Good night twitter friends - I'm nodding off at the 'puter
18414,1965963225,sadness,zMessenjah,This &quot;Monarchy&quot; is gonna bleed ALL of us dry! We are nothing more than slaves to the pigs in D.C. I don't reconize my country anymore!
4607,1960454225,sadness,BlytheX,I wish yesterday was Friday
5679,1960997569,sadness,Michelle_Moore,@agoodeye I am soooo disapoointed I couldn't make it  I will be there next time! Glad it was productive.
2063,1957462737,sadness,minauderie,"@OpheliaPunk nothing  it's sad, actually"
13393,1964017530,sadness,DyminNtheRough,Getting one of the lil GEM's ears REpierced after work today- definitely dreading it
33729,1752697919,sadness,MercyStreetTeam,@iamjonathancook
